First Name,Last Name,Position,Team,Projected Points
Josh,Allen,QB,Buf,365.5
Lamar,Jackson,QB,Bal,362.7
Jayden,Daniels,QB,WAS,367.3
Jalen,Hurts,QB,Phi,364.5
Joe,Burrow,QB,Cin,328.9
Patrick,Mahomes,QB,KC,325.1
Baker,Mayfield,QB,TB,310.6
Bo,Nix,QB,Den,301.7
Kyler,Murray,QB,Ari,306.1
Brock,Purdy,QB,SF,306.1
Justin,Herbert,QB,LAC,285.5
Dak,Prescott,QB,Dal,285.1
Justin,Fields,QB,NYJ,297.1
Caleb,Williams,QB,Chi,280.4
Jordan,Love,QB,GB,262
Jared,Goff,QB,Det,260.5
J.J.,McCarthy,QB,Min,281.6
Tua,Tagovailoa,QB,Mia,274.3
Matthew,Stafford,QB,LAR,274.5
Drake,Maye,QB,NE,271.3
C.J.,Stroud,QB,Hou,272.4
Trevor,Lawrence,QB,Jac,278.7
Cameron,Ward,QB,Ten,255.6
Michael,Penix Jr.,QB,Atl,250.6
Geno,Smith,QB,LV,259.1
Anthony,Richardson,QB,Ind,181.4
Bryce,Young,QB,Car,265.9
Sam,Darnold,QB,Sea,245.2
Aaron,Rodgers,QB,Pit,231.5
Russell,Wilson,QB,NYG,119.8
Tyler,Shough,QB,NO,151.8
Daniel,Jones,QB,Ind,108.2
Jaxson,Dart,QB,NYG,131.3
Kenny,Pickett,QB,Cle,105.7
Dillon,Gabriel,QB,Cle,73.9
Shedeur,Sanders,QB,Cle,55.2
Joe,Flacco,QB,Cle,0
Spencer,Rattler,QB,NO,87.6
Kirk,Cousins,QB,Atl,2.4
Jalen,Milroe,QB,Sea,0
Tyrod,Taylor,QB,NYJ,2.1
Mason,Rudolph,QB,Pit,2.2
Gardner,Minshew,QB,KC,2.7
Jameis,Winston,QB,NYG,0
Jake,Browning,QB,Cin,2.9
Jimmy,Garoppolo,QB,LAR,2.7
Marcus,Mariota,QB,WAS,2.7
Sam,Howell,QB,Min,2.6
Joe,Milton III,QB,Dal,2.6
Kyle,Trask,QB,TB,2.5
Bijan,Robinson,RB,Atl,335.8
Saquon,Barkley,RB,Phi,325.1
Jahmyr,Gibbs,RB,Det,317.1
Christian,McCaffrey,RB,SF,322.1
Ashton,Jeanty,RB,LV,297.9
De'Von,Achane,RB,Mia,306.1
Jonathan,Taylor,RB,Ind,296.8
Josh,Jacobs,RB,GB,282.2
Bucky,Irving,RB,TB,282.5
Derrick,Henry,RB,Bal,280.7
Kyren,Williams,RB,LAR,279.2
Chase,Brown,RB,Cin,271
James,Cook,RB,Buf,268.5
Kenneth,Walker III,RB,Sea,263.7
Alvin,Kamara,RB,NO,264.8
Chuba,Hubbard,RB,Car,257.3
James,Conner,RB,Ari,261.4
Omarion,Hampton,RB,LAC,247.3
Breece,Hall,RB,NYJ,233.1
Joe,Mixon,RB,Hou,233.6
D'Andre,Swift,RB,Chi,225.7
Aaron,Jones,RB,Min,217.4
David,Montgomery,RB,Det,213.4
Kaleb,Johnson,RB,Pit,217.5
TreVeyon,Henderson,RB,NE,215.4
RJ,Harvey,RB,Den,208.6
Tony,Pollard,RB,Ten,210.3
Isiah,Pacheco,RB,KC,211.1
Javonte,Williams,RB,Dal,212.1
Tyrone,Tracy Jr. ,RB,NYG,197.5
Brian,Robinson Jr.,RB,WAS,199.4
Jaylen,Warren,RB,Pit,195.9
Rhamondre,Stevenson,RB,NE,179.5
Cam,Skattebo,RB,NYG,155.5
J.K.,Dobbins,RB,Den,167
Austin,Ekeler,RB,WAS,164.7
Travis,Etienne Jr.,RB,JAC,153.3
Tyjae,Spears,RB,Ten,158.2
Tank,Bigsby,RB,JAC,142.6
Jerome,Ford,RB,Cle,104.8
Rachaad,White,RB,TB,129.9
Jordan,Mason,RB,Min,120.9
Quinshon,Judkins,RB,Cle,146.3
Dylan,Sampson,RB,Cle,93.1
Zach,Charbonnet,RB,Sea,112.7
Trey,Benson,RB,Ari,113.3
Tyler,Allgeier,RB,Atl,97.7
Najee,Harris,RB,LAC,113.5
Jaylen,Wright,RB,Mia,88.9
Bhayshul,Tuten,RB,JAC,54.9
Braelon,Allen,RB,NYJ,83.9
Isaac,Guerendo,RB,SF,87.5
MarShawn,Lloyd,RB,GB,86.7
Ray,Davis,RB,Buf,81.1
Roschon,Johnson,RB,Chi,104
Jaydon,Blue,RB,Dal,47.9
Will,Shipley,RB,Phi,56.7
Justice,Hill,RB,Bal,108
Kareem,Hunt,RB,KC,70.9
Blake,Corum,RB,LAR,52.4
Zack,Moss,RB,Cin,63.6
Nick,Chubb,RB,Hou,95.5
Woody,Marks,RB,Hou,54.2
Rico,Dowdle,RB,Car,83.5
Raheem,Mostert,RB,LV,45.9
Miles,Sanders,RB,Dal,75.6
Kendre,Miller,RB,NO,81
DJ,Giddens,RB,Ind,19.5
Trevor,Etienne,RB,Car,21.6
Jarquez,Hunter,RB,LAR,26.8
Antonio,Gibson,RB,NE,10.3
Jaleel,McLaughlin,RB,Den,15.7
Devin,Singletary,RB,NYG,10.9
Ty,Johnson,RB,Buf,54.5
Elijah,Mitchell,RB,KC,49.1
Kenneth,Gainwell,RB,Pit,36.6
Ollie,Gordon II,RB,Mia,31
Sean,Tucker,RB,TB,28.2
Sincere,McCormick,RB,LV,21.6
Clyde,Edwards-Helaire,RB,NO,28
