First Name,Last Name,Position,Team,Projected Points
Josh,Allen,QB,Buf,365.5
Lamar,Jackson,QB,Bal,362.7
Jayden,Daniels,QB,WAS,367.3
Jalen,Hurts,QB,Phi,364.5
Joe,Burrow,QB,Cin,328.9
Patrick,Mahomes,QB,KC,325.1
Baker,Mayfield,QB,TB,310.6
Bo,Nix,QB,Den,301.7
Kyler,Murray,QB,Ari,306.1
Brock,Purdy,QB,SF,306.1
Caleb,Williams,QB,Chi,280.4
Justin,Herbert,QB,LAC,285.5
Dak,Prescott,QB,Dal,285.1
Justin,Fields,QB,NYJ,297.1
Drake,Maye,QB,NE,271.3
Jordan,Love,QB,GB,262
Jared,Goff,QB,Det,260.5
J.J.,McCarthy,QB,Min,281.6
Tua,Tagovailoa,QB,Mia,274.3
Matthew,Stafford,QB,LAR,274.5
C.J.,Stroud,QB,Hou,272.4
Trevor,Lawrence,QB,Jac,278.7
Cameron,Ward,QB,Ten,255.6
Michael,Penix Jr.,QB,Atl,250.6
Bryce,Young,QB,Car,265.9
Geno,Smith,QB,LV,259.1
Anthony,Richardson,QB,Ind,181.4
Sam,Darnold,QB,Sea,245.2
Aaron,Rodgers,QB,Pit,231.5
Russell,Wilson,QB,NYG,119.8
Tyler,Shough,QB,NO,151.8
Daniel,Jones,QB,Ind,108.2
Jaxson,Dart,QB,NYG,131.3
Kenny,Pickett,QB,Cle,105.7
Dillon,Gabriel,QB,Cle,73.9
Shedeur,Sanders,QB,Cle,55.2
Joe,Flacco,QB,Cle,0
Spencer,Rattler,QB,NO,87.6
Kirk,Cousins,QB,Atl,2.4
Jalen,Milroe,QB,Sea,0
Tyrod,Taylor,QB,NYJ,2.1
Mason,Rudolph,QB,Pit,2.2
Gardner,Minshew,QB,KC,2.7
Jameis,Winston,QB,NYG,0
Jake,Browning,QB,Cin,2.9
Jimmy,Garoppolo,QB,LAR,2.7
Marcus,Mariota,QB,WAS,2.7
Sam,Howell,QB,Min,2.6
Joe,Milton III,QB,Dal,2.6
Kyle,Trask,QB,TB,2.5
Bijan,Robinson,RB,Atl,273.3
Saquon,Barkley,RB,Phi,277.5
Jahmyr,Gibbs,RB,Det,256.7
Christian,McCaffrey,RB,SF,250.5
Derrick,Henry,RB,Bal,262.9
Ashton,Jeanty,RB,LV,235.2
Jonathan,Taylor,RB,Ind,266.6
De'Von,Achane,RB,Mia,231.8
Josh,Jacobs,RB,GB,240.6
Kyren,Williams,RB,LAR,243.7
Bucky,Irving,RB,TB,229.1
James,Cook,RB,Buf,232
Kenneth,Walker III,RB,Sea,212.9
Chase,Brown,RB,Cin,206.5
Chuba,Hubbard,RB,Car,209.1
James,Conner,RB,Ari,215.7
Alvin,Kamara,RB,NO,193.8
Omarion,Hampton,RB,LAC,206.5
Joe,Mixon,RB,Hou,196.5
Breece,Hall,RB,NYJ,184.5
D'Andre,Swift,RB,Chi,188.3
David,Montgomery,RB,Det,177.3
Kaleb,Johnson,RB,Pit,188.5
Aaron,Jones,RB,Min,165.7
TreVeyon,Henderson,RB,NE,172.7
Tony,Pollard,RB,Ten,164.9
RJ,Harvey,RB,Den,158.6
Isiah,Pacheco,RB,KC,168.5
Brian,Robinson Jr.,RB,WAS,173.7
Tyrone,Tracy Jr.,RB,NYG,160.1
Javonte,Williams,RB,Dal,162.8
Rhamondre,Stevenson,RB,NE,150.5
Jaylen,Warren,RB,Pit,139.9
Cam,Skattebo,RB,NYG,123
J.K.,Dobbins,RB,Den,133.3
Tank,Bigsby,RB,Jac,125.6
Travis,Etienne Jr.,RB,Jac,109.3
Austin,Ekeler,RB,WAS,114.1
Tyjae,Spears,RB,Ten,118.3
Jerome,Ford,RB,Cle,78.9
Jordan,Mason,RB,Min,107.6
Rachaad,White,RB,TB,97.7
Quinshon,Judkins,RB,Cle,119.8
Dylan,Sampson,RB,Cle,71.3
Zach,Charbonnet,RB,Sea,86.1
Trey,Benson,RB,Ari,92.2
Tyler,Allgeier,RB,Atl,86.8
Najee,Harris,RB,LAC,96.3
Jaylen,Wright,RB,Mia,73.3
Bhayshul,Tuten,RB,Jac,41.7
Rashid,Shaheed,WR,NO,122.6
Tre,Harris,WR,LAC,107.8
Jayden,Higgins,WR,Hou,107.3
Emeka,Egbuka,WR,TB,99.2
Adam,Thielen,WR,Car,94.8
Xavier,Legette,WR,Car,98.3
Cedric,Tillman,WR,Cle,100.3
Hollywood,Brown,WR,KC,103.4
Brandon,Aiyuk,WR,SF,69
Quentin,Johnston,WR,LAC,106.3
Jack,Bech,WR,LV,75.1
Wan'Dale,Robinson,WR,NYG,83.1
Marvin,Mims Jr.,WR,Den,105.9
Kyle,Williams,WR,NE,72.9
Rashod,Bateman,WR,Bal,90.3
Luther,Burden III,WR,Chi,73.7
Jalen,McMillan,WR,TB,64.5
Michael,Wilson,WR,Ari,69.3
Pat,Bryant,WR,Den,61.4
Christian,Kirk,WR,Hou,68.8
Keenan,Allen,WR,FA,0
Romeo,Doubs,WR,GB,79.9
Tyler,Lockett,WR,Ten,71.1
DeMario,Douglas,WR,NE,77.7
Brock,Bowers,TE,LV,151.40
Nick,Westbrook-Ikhine,WR,Mia,75.2
Joshua,Palmer,WR,Buf,69.8
Diontae,Johnson,WR,Cle,61.8
Trey,McBride,TE,Ari,146.10
